時間,x,y,z,voltage(V),current(A),power(W),energy(Wh),frequency(Hz),powerfactor,alarm,異常分數,錯誤訊息
2023-10-07 00:00:07,-364,-8000,494,123.7,6.297,186.8,17484.0,60.0,0.24,0.0,0.0,"「x」無異常狀況, 「y」無異常狀況, 「z」無異常狀況, 「voltage(V)」無異常狀況, 「current(A)」無異常狀況, 「power(W)」無異常狀況, 「energy(Wh)」無異常狀況, 「frequency(Hz)」無異常狀況, 「powerfactor」無異常狀況"
2023-10-07 00:00:08,-133,-8043,513,123.8,6.299,186.4,17484.0,60.0,0.24,0.0,0.0,"「x」無異常狀況, 「y」無異常狀況, 「z」無異常狀況, 「voltage(V)」無異常狀況, 「current(A)」無異常狀況, 「power(W)」無異常狀況, 「energy(Wh)」無異常狀況, 「frequency(Hz)」無異常狀況, 「powerfactor」無異常狀況"
2023-10-07 00:00:09,1179,-8459,-757,123.8,6.299,186.4,17484.0,59.9,0.24,0.0,0.0,"「x」無異常狀況, 「y」無異常狀況, 「z」無異常狀況, 「voltage(V)」無異常狀況, 「current(A)」無異常狀況, 「power(W)」無異常狀況, 「energy(Wh)」無異常狀況, 「frequency(Hz)」無異常狀況, 「powerfactor」無異常狀況"
2023-10-07 00:00:10,-579,-8199,201,123.7,6.302,186.9,17484.0,60.0,0.24,0.0,0.0,"「x」無異常狀況, 「y」無異常狀況, 「z」無異常狀況, 「voltage(V)」無異常狀況, 「current(A)」無異常狀況, 「power(W)」無異常狀況, 「energy(Wh)」無異常狀況, 「frequency(Hz)」無異常狀況, 「powerfactor」無異常狀況"
2023-10-07 00:00:11,27,-7897,-14,123.7,6.303,186.4,17484.0,60.0,0.24,0.0,0.0,"「x」無異常狀況, 「y」無異常狀況, 「z」無異常狀況, 「voltage(V)」無異常狀況, 「current(A)」無異常狀況, 「power(W)」無異常狀況, 「energy(Wh)」無異常狀況, 「frequency(Hz)」無異常狀況, 「powerfactor」無異常狀況"
2023-10-07 00:00:12,515,-9027,683,123.81999999999998,6.1942,178.26000000000002,17502.0,59.98,0.2339999999999999,0.0,0.0,"「x」無異常狀況, 「y」無異常狀況, 「z」無異常狀況, 「voltage(V)」無異常狀況, 「current(A)」無異常狀況, 「power(W)」無異常狀況, 「energy(Wh)」無異常狀況, 「frequency(Hz)」無異常狀況, 「powerfactor」無異常狀況"
2023-10-07 00:00:13,-521,-6753,-574,123.8,6.306,186.4,17485.0,59.9,0.24,0.0,0.0,"「x」無異常狀況, 「y」超過上界, 「z」無異常狀況, 「voltage(V)」無異常狀況, 「current(A)」無異常狀況, 「power(W)」無異常狀況, 「energy(Wh)」無異常狀況, 「frequency(Hz)」無異常狀況, 「powerfactor」無異常狀況"
2023-10-07 00:00:14,-104,-7475,-95,123.7,6.297,187.1,17485.0,60.0,0.24,0.0,0.0,"「x」無異常狀況, 「y」無異常狀況, 「z」無異常狀況, 「voltage(V)」無異常狀況, 「current(A)」無異常狀況, 「power(W)」無異常狀況, 「energy(Wh)」無異常狀況, 「frequency(Hz)」無異常狀況, 「powerfactor」無異常狀況"
2023-10-07 00:00:15,-220,-8304,-344,123.7,6.296,186.8,17485.0,60.0,0.24,0.0,0.0,"「x」無異常狀況, 「y」無異常狀況, 「z」無異常狀況, 「voltage(V)」無異常狀況, 「current(A)」無異常狀況, 「power(W)」無異常狀況, 「energy(Wh)」無異常狀況, 「frequency(Hz)」無異常狀況, 「powerfactor」無異常狀況"
2023-10-07 00:00:16,54,-7099,111,123.7,6.296,186.8,17485.0,60.0,0.24,0.0,0.0,"「x」無異常狀況, 「y」無異常狀況, 「z」無異常狀況, 「voltage(V)」無異常狀況, 「current(A)」無異常狀況, 「power(W)」無異常狀況, 「energy(Wh)」無異常狀況, 「frequency(Hz)」無異常狀況, 「powerfactor」無異常狀況"
2023-10-07 00:00:17,-459,-8117,255,123.8,6.293,186.9,17485.0,60.0,0.24,0.0,0.0,"「x」無異常狀況, 「y」無異常狀況, 「z」無異常狀況, 「voltage(V)」無異常狀況, 「current(A)」無異常狀況, 「power(W)」無異常狀況, 「energy(Wh)」無異常狀況, 「frequency(Hz)」無異常狀況, 「powerfactor」無異常狀況"
2023-10-07 00:00:18,-430,-8456,-39,123.8,6.298,187.5,17485.0,60.0,0.24,0.0,0.0,"「x」無異常狀況, 「y」無異常狀況, 「z」無異常狀況, 「voltage(V)」無異常狀況, 「current(A)」無異常狀況, 「power(W)」無異常狀況, 「energy(Wh)」無異常狀況, 「frequency(Hz)」無異常狀況, 「powerfactor」無異常狀況"
2023-10-07 00:00:19,101,-9279,328,123.8,6.297,187.6,17485.0,60.0,0.24,0.0,0.0,"「x」無異常狀況, 「y」低於下界, 「z」無異常狀況, 「voltage(V)」無異常狀況, 「current(A)」無異常狀況, 「power(W)」無異常狀況, 「energy(Wh)」無異常狀況, 「frequency(Hz)」無異常狀況, 「powerfactor」無異常狀況"
2023-10-07 00:00:20,-643,-7506,337,123.8,6.295,187.9,17485.0,60.0,0.24,0.0,0.0,"「x」無異常狀況, 「y」無異常狀況, 「z」無異常狀況, 「voltage(V)」無異常狀況, 「current(A)」無異常狀況, 「power(W)」無異常狀況, 「energy(Wh)」無異常狀況, 「frequency(Hz)」無異常狀況, 「powerfactor」無異常狀況"
2023-10-07 00:00:21,-311,-8167,163,123.7,6.306,188.1,17485.0,60.0,0.24,0.0,0.0,"「x」無異常狀況, 「y」無異常狀況, 「z」無異常狀況, 「voltage(V)」無異常狀況, 「current(A)」無異常狀況, 「power(W)」無異常狀況, 「energy(Wh)」無異常狀況, 「frequency(Hz)」無異常狀況, 「powerfactor」無異常狀況"
2023-10-07 00:00:22,649,-8340,-1361,123.7,6.307,188.5,17485.0,60.0,0.24,0.0,0.0,"「x」無異常狀況, 「y」無異常狀況, 「z」低於下界, 「voltage(V)」無異常狀況, 「current(A)」無異常狀況, 「power(W)」無異常狀況, 「energy(Wh)」無異常狀況, 「frequency(Hz)」無異常狀況, 「powerfactor」無異常狀況"
2023-10-07 00:00:23,-353,-7364,18,123.7,6.307,188.5,17485.0,60.0,0.24,0.0,0.0,"「x」無異常狀況, 「y」無異常狀況, 「z」無異常狀況, 「voltage(V)」無異常狀況, 「current(A)」無異常狀況, 「power(W)」無異常狀況, 「energy(Wh)」無異常狀況, 「frequency(Hz)」無異常狀況, 「powerfactor」無異常狀況"
2023-10-07 00:00:24,-872,-7670,434,123.8,6.308,188.1,17485.0,60.0,0.24,0.0,0.0,"「x」無異常狀況, 「y」無異常狀況, 「z」無異常狀況, 「voltage(V)」無異常狀況, 「current(A)」無異常狀況, 「power(W)」無異常狀況, 「energy(Wh)」無異常狀況, 「frequency(Hz)」無異常狀況, 「powerfactor」無異常狀況"
